####################  Results for DUD-E ####################
aa2ar accuracy: 0.995162911884, auc:0.999573342834
abl1 accuracy: 0.987230808209, auc:0.997133358766
aldr accuracy: 0.976423866703, auc:0.999084639172
wee1 accuracy: 0.994163424125, auc:0.99898341359
xiap accuracy: 1.0, auc:1.0
ampc accuracy: 0.902968095734, auc:0.976674961634
andr accuracy: 0.980204288253, auc:0.998188718149
aofb accuracy: 0.959863668437, auc:0.992364143374
bace1 accuracy: 0.992371359732, auc:0.99949247001
braf accuracy: 0.987837453822, auc:0.99535611689
cah2 accuracy: 0.998255663398, auc:0.999899333961
casp3 accuracy: 0.992917470395, auc:0.999470558388
cdk2 accuracy: 0.97915911575, auc:0.998218353701
comt accuracy: 1.0, auc:1.0
ace accuracy: 0.995662114042, auc:0.999760038823
cp2c9 accuracy: 0.953935191559, auc:0.99369678146
cp3a4 accuracy: 0.941107075768, auc:0.979320561139
csf1r accuracy: 0.982040308568, auc:0.999573818751
cxcr4 accuracy: 0.991728212703, auc:0.999890029326
def accuracy: 0.997152349312, auc:1.0
dhi1 accuracy: 0.991421313363, auc:0.999351546729
dpp4 accuracy: 0.996475552949, auc:0.999965112228
drd3 accuracy: 0.982847786759, auc:0.997794529124
dyr accuracy: 0.996367912461, auc:0.999727615768
egfr accuracy: 0.989569668553, auc:0.998443496716
aces accuracy: 0.982068797562, auc:0.997322772972
esr1 accuracy: 0.990003132106, auc:0.999528857122
esr2 accuracy: 0.993553788618, auc:0.999168776549
fa10 accuracy: 0.997393794265, auc:0.99974286723
fa7 accuracy: 0.994767932489, auc:0.999995709996
fabp4 accuracy: 0.980022197558, auc:0.987740805604
fak1 accuracy: 0.97286219867, auc:0.997459376971
fgfr1 accuracy: 0.4694804532, auc:0.486991396559
fkb1a accuracy: 1.0, auc:1.0
fnta accuracy: 0.998143688937, auc:0.999513538649
fpps accuracy: 1.0, auc:1.0
ada17 accuracy: 0.999479286316, auc:0.999998857011
gcr accuracy: 0.994347128512, auc:0.999797047593
glcm accuracy: 0.998411647915, auc:1.0
gria2 accuracy: 0.985154680268, auc:0.999453439822
grik1 accuracy: 0.994601889339, auc:0.999994960947
hdac2 accuracy: 0.994647677961, auc:0.999633408434
hdac8 accuracy: 0.989433336423, auc:0.999627683779
hivint accuracy: 0.992900415875, auc:0.999777889902
hivpr accuracy: 0.995907748559, auc:0.998907816508
hivrt accuracy: 0.971208855322, auc:0.994699205764
hmdh accuracy: 0.998307952623, auc:0.999996182623
ada accuracy: 0.999817017383, auc:1.0
hs90a accuracy: 0.992980437284, auc:0.999991902834
hxk4 accuracy: 1.0, auc:1.0
igf1r accuracy: 0.984787796698, auc:0.996025104209
inha accuracy: 0.986899563319, auc:0.999971387697
ital accuracy: 0.997947402181, auc:0.999997498374
jak2 accuracy: 0.986132447144, auc:0.998436565963
kif11 accuracy: 0.986167846564, auc:0.990998529028
kit accuracy: 0.976367091259, auc:0.995726515069
kith accuracy: 0.99615720524, auc:1.0
kpcb accuracy: 0.973872760964, auc:0.99581909687
adrb1 accuracy: 0.990641034793, auc:0.99973683113
lck accuracy: 0.98173757676, auc:0.998796702434
lkha4 accuracy: 0.9964017991, auc:0.999975813544
mapk2 accuracy: 0.992736077482, auc:0.998725766104
mcr accuracy: 0.98977588046, auc:0.999945859342
met accuracy: 0.990067157458, auc:0.999832595983
mk01 accuracy: 0.983444490188, auc:0.998182182182
mk10 accuracy: 0.955648007307, auc:0.98254462367
mk14 accuracy: 0.993628999749, auc:0.99927391653
mmp13 accuracy: 0.99593407308, auc:0.999888705214
mp2k1 accuracy: 0.97460654505, auc:0.999254285843
adrb2 accuracy: 0.991271879828, auc:0.999740817997
nos1 accuracy: 0.987174348697, auc:0.999474705027
nram accuracy: 0.997739200646, auc:0.999959839357
pa2ga accuracy: 0.989620535714, auc:0.998825335893
parp1 accuracy: 0.994983706769, auc:0.99995114563
pde5a accuracy: 0.99291840901, auc:0.999269338325
pgh1 accuracy: 0.93269703543, auc:0.985791048055
pgh2 accuracy: 0.970553769025, auc:0.993972815289
plk1 accuracy: 0.97623461528, auc:0.984417772239
pnph accuracy: 0.999784224102, auc:1.0
ppara accuracy: 0.993893977241, auc:0.998499280925
akt1 accuracy: 0.990568047466, auc:0.999295831507
ppard accuracy: 0.987585881708, auc:0.995328267759
pparg accuracy: 0.98476912388, auc:0.99665428544
prgr accuracy: 0.982728952962, auc:0.999719152243
ptn1 accuracy: 0.973992823309, auc:0.99689663531
pur2 accuracy: 1.0, auc:1.0
pygm accuracy: 0.996090082443, auc:1.0
pyrd accuracy: 0.979990516833, auc:0.999739538114
reni accuracy: 0.997466448155, auc:0.999972875226
rock1 accuracy: 0.989821319374, auc:0.998749857541
rxra accuracy: 0.997520991603, auc:1.0
akt2 accuracy: 0.992648221344, auc:0.995573646346
sahh accuracy: 1.0, auc:1.0
src accuracy: 0.984457057289, auc:0.998409864847
tgfr1 accuracy: 0.996326200768, auc:0.999872375463
thb accuracy: 0.990464839094, auc:0.999924589708
thrb accuracy: 0.997421043277, auc:0.999995743812
try1 accuracy: 0.996703318251, auc:0.999551716307
tryb1 accuracy: 0.995238095238, auc:0.991798275731
tysy accuracy: 0.995159772912, auc:0.999899426871
urok accuracy: 0.991759977173, auc:0.997190332326
vgfr2 accuracy: 0.991864175023, auc:0.999912910882

DUD-E: Average Accuracy: 0.9825760982, Average AUC: 0.9927727926
