####################  Results for MUV ####################
466 accuracy: 0.947987421384, auc:0.698366666667
548 accuracy: 0.95534591195, auc:0.896777777778
737 accuracy: 0.941635220126, auc:0.633655555556
810 accuracy: 0.952767295597, auc:0.833211111111
832 accuracy: 0.978805031447, auc:0.982766666667
846 accuracy: 0.969622641509, auc:0.964355555556
852 accuracy: 0.966729559748, auc:0.870888888889
858 accuracy: 0.947798742138, auc:0.733988888889
859 accuracy: 0.938427672956, auc:0.554711111111
600 accuracy: 0.94748427673, auc:0.689377777778
644 accuracy: 0.956666666667, auc:0.899444444444
652 accuracy: 0.947547169811, auc:0.762611111111
689 accuracy: 0.943899371069, auc:0.767355555556
692 accuracy: 0.941509433962, auc:0.574994444444
712 accuracy: 0.956100628931, auc:0.821411111111
713 accuracy: 0.944465408805, auc:0.743544444444
733 accuracy: 0.944402515723, auc:0.702466666667

MUV: Average Accuracy: 0.9518349982, Average AUC: 0.7723486928


