####################  Results for PCBA ####################
aid1030 accuracy: 0.674709944435, auc:0.733786030715
aid1379 accuracy: 0.932661285529, auc:0.901565677907
aid1471 accuracy: 0.903123506674, auc:0.53904717217
aid720579 accuracy: 0.789275497688, auc:0.804442203571
aid720580 accuracy: 0.815595635822, auc:0.813257702154
aid720707 accuracy: 0.966737492539, auc:0.814629610288
aid720708 accuracy: 0.886323221375, auc:0.797027446546
aid720709 accuracy: 0.939715349553, auc:0.847950954698
aid720711 accuracy: 0.968735596353, auc:0.840420382005
aid743255 accuracy: 0.920635173918, auc:0.891212345545
aid743266 accuracy: 0.897001625498, auc:0.526199831253
aid875 accuracy: 0.989643043655, auc:0.88120290638
aid881 accuracy: 0.903078561154, auc:0.866949006777
aid1479 accuracy: 0.806175517066, auc:0.693379672614
aid883 accuracy: 0.741283691524, auc:0.800559108507
aid884 accuracy: 0.789882414852, auc:0.860981464319
aid885 accuracy: 0.877817498434, auc:0.875108168114
aid887 accuracy: 0.754127876608, auc:0.769806551296
aid891 accuracy: 0.751422576865, auc:0.822905652249
aid899 accuracy: 0.744340751448, auc:0.799130996009
aid902 accuracy: 0.750714934616, auc:0.793580010436
aid903 accuracy: 0.891016167161, auc:0.865043750855
aid904 accuracy: 0.813996073621, auc:0.785421471915
aid912 accuracy: 0.828503883627, auc:0.734945500927
aid1631 accuracy: 0.865346438234, auc:0.830818165104
aid914 accuracy: 0.859022795954, auc:0.878789485675
aid915 accuracy: 0.677693549253, auc:0.766268598685
aid924 accuracy: 0.818124589747, auc:0.833802566195
aid925 accuracy: 0.984832048365, auc:0.833967772845
aid926 accuracy: 0.836903383115, auc:0.642181141728
aid927 accuracy: 0.969512048419, auc:0.745157998519
aid938 accuracy: 0.713973228665, auc:0.765066624081
aid995 accuracy: 0.770654107575, auc:0.723087107879
aid1634 accuracy: 0.981479383393, auc:0.921229925206
aid1688 accuracy: 0.717444399108, auc:0.735605513352
aid1721 accuracy: 0.905230237872, auc:0.908737058251
aid2100 accuracy: 0.89213621839, auc:0.885187527824
aid2101 accuracy: 0.972978016039, auc:0.874559017592
aid2147 accuracy: 0.764581014483, auc:0.812812569333
aid2242 accuracy: 0.945427352207, auc:0.925140075021
aid1452 accuracy: 0.965741934746, auc:0.845694332509
aid2326 accuracy: 0.767769652735, auc:0.689161996072
aid2451 accuracy: 0.816619061514, auc:0.849729814462
aid2517 accuracy: 0.876201641734, auc:0.85432399202
aid2528 accuracy: 0.926804113569, auc:0.872499066505
aid2546 accuracy: 0.766125650392, auc:0.844439371435
aid2549 accuracy: 0.820890471684, auc:0.788994539639
aid2551 accuracy: 0.799912683507, auc:0.876652422273
aid2662 accuracy: 0.988319831928, auc:0.851023155086
aid2675 accuracy: 0.985438603492, auc:0.773592524973
aid2676 accuracy: 0.878903937082, auc:0.865730631622
aid1454 accuracy: 0.889331229991, auc:0.791590668466
aid411 accuracy: 0.805701178655, auc:0.870873211202
aid463254 accuracy: 0.995796664963, auc:0.784799764067
aid485281 accuracy: 0.952838718102, auc:0.775733929617
aid485290 accuracy: 0.831539321217, auc:0.768494024035
aid485294 accuracy: 0.984504718176, auc:0.813142778188
aid485297 accuracy: 0.814173691664, auc:0.890547483959
aid485313 accuracy: 0.818724995828, auc:0.894570002622
aid485314 accuracy: 0.785587142505, auc:0.843604907244
aid485341 accuracy: 0.740373278852, auc:0.725962196871
aid485349 accuracy: 0.835814422599, auc:0.667358634604
aid1457 accuracy: 0.879751838032, auc:0.82030571623
aid485353 accuracy: 0.863170980935, auc:0.700567184101
