aa2ar accuracy: 0.985620030941, auc:0.998565970179
abl1 accuracy: 0.946592348619, auc:0.991070747335
aldr accuracy: 0.932827355393, auc:0.993358802396
wee1 accuracy: 0.993968871595, auc:0.99240829915
xiap accuracy: 0.983689038605, auc:0.999790891769
ampc accuracy: 0.878899611027, auc:0.951463153812
andr accuracy: 0.976307920066, auc:0.995288868202
aofb accuracy: 0.922519957036, auc:0.98579250307
bace1 accuracy: 0.985291709059, auc:0.997473341514
braf accuracy: 0.972410725943, auc:0.993029389301
cah2 accuracy: 0.997586121969, auc:0.998143438956
casp3 accuracy: 0.987243367646, auc:0.995173641614
cdk2 accuracy: 0.968221207164, auc:0.998478482183
comt accuracy: 0.994752645341, auc:0.999917572124
ace accuracy: 0.993881171508, auc:0.997744395029
cp2c9 accuracy: 0.916305083618, auc:0.990336304979
cp3a4 accuracy: 0.915860375628, auc:0.985727270612
csf1r accuracy: 0.965619446191, auc:0.999387360815
cxcr4 accuracy: 0.979635705347, auc:0.999731182796
def accuracy: 0.999810156621, auc:1.0
dhi1 accuracy: 0.965687690922, auc:0.998047865204
dpp4 accuracy: 0.986801037521, auc:0.999405414125
drd3 accuracy: 0.96963219327, auc:0.996103384378
dyr accuracy: 0.9929098815, auc:0.998055078385
egfr accuracy: 0.979896008357, auc:0.995539528007
aces accuracy: 0.969515902415, auc:0.996104936726
esr1 accuracy: 0.988436290167, auc:0.996487924152
esr2 accuracy: 0.987972027612, auc:0.9963650041
fa10 accuracy: 0.9847619878, auc:0.999923401709
fa7 accuracy: 0.994767932489, auc:0.9970999571
fabp4 accuracy: 0.96711943372, auc:0.977917529056
fak1 accuracy: 0.97286219867, auc:0.990285537004
fgfr1 accuracy: 0.349882617128, auc:0.388237845138
fkb1a accuracy: 0.999652776731, auc:1.0
fnta accuracy: 0.994843000182, auc:0.999649206046
fpps accuracy: 1.0, auc:1.0
ada17 accuracy: 0.990235333935, auc:0.999944146459
gcr accuracy: 0.989166837555, auc:0.998776722697
glcm accuracy: 0.994147143767, auc:0.998169011666
gria2 accuracy: 0.963923359446, auc:0.999094118317
grik1 accuracy: 0.986306902917, auc:0.999267295602
hdac2 accuracy: 0.984089640931, auc:0.995510092166
hdac8 accuracy: 0.985872005398, auc:0.990894611213
hivint accuracy: 0.981095126492, auc:0.996747518705
hivpr accuracy: 0.991534242723, auc:0.997870333689
hivrt accuracy: 0.939616205594, auc:0.994272029134
hmdh accuracy: 0.994923857868, auc:0.999885478699
ada accuracy: 0.99569864714, auc:0.999964843201
hs90a accuracy: 0.979290504345, auc:0.999672097493
hxk4 accuracy: 0.999532163743, auc:0.999983333333
igf1r accuracy: 0.971927244582, auc:0.995862773192
inha accuracy: 0.979198544066, auc:0.999876581302
ital accuracy: 0.999871712636, auc:0.999997498374
jak2 accuracy: 0.943542670415, auc:0.993389203108
kif11 accuracy: 0.983714895501, auc:0.98591411624
kit accuracy: 0.946903578065, auc:0.989164085497
kith accuracy: 0.995631493419, auc:0.999939589207
kpcb accuracy: 0.959441034295, auc:0.985558454151
adrb1 accuracy: 0.991790534129, auc:0.996312470304
lck accuracy: 0.963344996166, auc:0.997104979692
lkha4 accuracy: 0.976026791348, auc:0.999427077298
mapk2 accuracy: 0.98062169766, auc:0.999717619681
mcr accuracy: 0.981771976661, auc:0.999043535458
met accuracy: 0.977450471653, auc:0.997017320966
mk01 accuracy: 0.96366131467, auc:0.993363581741
mk10 accuracy: 0.941161597934, auc:0.992855210753
mk14 accuracy: 0.980995918157, auc:0.998546912008
mmp13 accuracy: 0.985182960473, auc:0.998274926632
mp2k1 accuracy: 0.966743883657, auc:0.98750591801
adrb2 accuracy: 0.985188301514, auc:0.998525701021
nos1 accuracy: 0.967626430275, auc:0.996705567732
nram accuracy: 0.995327426141, auc:0.999954362906
pa2ga accuracy: 0.983151169951, auc:0.999067178503
parp1 accuracy: 0.983383048318, auc:0.997415476744
pde5a accuracy: 0.976608584542, auc:0.99923647326
pgh1 accuracy: 0.870973223241, auc:0.980434250716
pgh2 accuracy: 0.94789544047, auc:0.988950028575
plk1 accuracy: 0.963488903649, auc:0.991358600201
pnph accuracy: 0.994897592526, auc:0.999981406303
ppara accuracy: 0.979018148328, auc:0.995652523151
akt1 accuracy: 0.985579382383, auc:0.996493534638
ppard accuracy: 0.977755894458, auc:0.994006596945
pparg accuracy: 0.968846599383, auc:0.997036986041
prgr accuracy: 0.970864783787, auc:0.996837361821
ptn1 accuracy: 0.939990968933, auc:0.99506009383
pur2 accuracy: 1.0, auc:1.0
pygm accuracy: 0.983411145837, auc:0.999561121333
pyrd accuracy: 0.965496948561, auc:0.998949470394
reni accuracy: 0.993638863241, auc:0.999958225681
rock1 accuracy: 0.970277513647, auc:0.992648706659
rxra accuracy: 0.985525789684, auc:0.996090201168
akt2 accuracy: 0.983320158103, auc:0.998333964407
sahh accuracy: 1.0, auc:1.0
src accuracy: 0.977563284672, auc:0.997246311082
tgfr1 accuracy: 0.994686376464, auc:0.999932070811
thb accuracy: 0.971480337383, auc:0.995323599174
thrb accuracy: 0.988994045162, auc:0.999899644215
try1 accuracy: 0.984200707967, auc:0.997059870696
tryb1 accuracy: 0.988135262823, auc:0.993455786984
tysy accuracy: 0.980880778589, auc:0.999081623019
urok accuracy: 0.991577205926, auc:0.996175287049
vgfr2 accuracy: 0.956631722881, auc:0.999178395519

DUD-E: Average Accuracy: 0.9693393643, Average AUC: 0.9898101778


