466 accuracy: 0.942767295597, auc:0.598133333333
548 accuracy: 0.955283018868, auc:0.74885
737 accuracy: 0.945031446541, auc:0.60535
810 accuracy: 0.952264150943, auc:0.686227777778
832 accuracy: 0.972704402516, auc:0.945088888889
846 accuracy: 0.959496855346, auc:0.856188888889
852 accuracy: 0.961698113208, auc:0.82105
858 accuracy: 0.948490566038, auc:0.6157
859 accuracy: 0.943081761006, auc:0.559144444444
600 accuracy: 0.946666666667, auc:0.636205555556
644 accuracy: 0.948113207547, auc:0.814866666667
652 accuracy: 0.944716981132, auc:0.602472222222
689 accuracy: 0.942830188679, auc:0.68485
692 accuracy: 0.942704402516, auc:0.494872222222
712 accuracy: 0.946981132075, auc:0.722744444444
713 accuracy: 0.944402515723, auc:0.582122222222
733 accuracy: 0.942830188679, auc:0.670683333333

MUV: Average Accuracy: 0.9494154643, Average AUC: 0.6849735294
