aid1379 accuracy: 0.937040211394, auc:0.839516503875
aid875 accuracy: 0.990670920317, auc:0.779432448316
aid881 accuracy: 0.896018844413, auc:0.876190164717
aid1479 accuracy: 0.926258254445, auc:0.673102821763
aid883 accuracy: 0.742506648829, auc:0.84748521068
aid884 accuracy: 0.811136383011, auc:0.888575130828
aid885 accuracy: 0.843261276759, auc:0.882243203509
aid887 accuracy: 0.74328438965, auc:0.784150224459
aid891 accuracy: 0.738940845795, auc:0.850041868278
aid899 accuracy: 0.746724824043, auc:0.839249577926
aid902 accuracy: 0.752665030007, auc:0.836010780864
aid903 accuracy: 0.876808752569, auc:0.831725738766
aid904 accuracy: 0.806675524043, auc:0.802419722223
aid912 accuracy: 0.847529380099, auc:0.714799209961
aid914 accuracy: 0.777921812774, auc:0.882119361694
aid915 accuracy: 0.639144320644, auc:0.833747083909
aid925 accuracy: 0.98469756238, auc:0.730127705946
aid926 accuracy: 0.877317890887, auc:0.631328005338
aid927 accuracy: 0.971170174718, auc:0.606149196325
aid938 accuracy: 0.631491999088, auc:0.776728464172
aid995 accuracy: 0.7846198683, auc:0.747500777129
aid1634 accuracy: 0.984489242216, auc:0.709692677097
aid1721 accuracy: 0.925625157212, auc:0.867845354924
aid2242 accuracy: 0.947019043693, auc:0.901515974535
aid1452 accuracy: 0.969811441281, auc:0.770888006205
aid2451 accuracy: 0.856680735982, auc:0.85140166462
aid2675 accuracy: 0.991885573708, auc:0.686189273732
aid2676 accuracy: 0.935739522942, auc:0.842454980223
aid1454 accuracy: 0.914562112595, auc:0.779587056856
aid411 accuracy: 0.719047536862, auc:0.896701859235
aid485341 accuracy: 0.868265097743, auc:0.686011116599
aid485360 accuracy: 0.869561815336, auc:0.83472047163
aid485367 accuracy: 0.960872303488, auc:0.793009149923
aid492947 accuracy: 0.993471525577, auc:0.640304964928
aid493208 accuracy: 0.849774489311, auc:0.789596238516
aid504706 accuracy: 0.981421652878, auc:0.563727901613
aid504891 accuracy: 0.997473374913, auc:0.595249677222
aid540276 accuracy: 0.710811374237, auc:0.763504178845
aid1460 accuracy: 0.757841347495, auc:0.92560132099
aid602233 accuracy: 0.988739322105, auc:0.731156512658
aid1461 accuracy: 0.783728971727, auc:0.786119676947
aid602332 accuracy: 0.995271438778, auc:0.584039826171
aid624171 accuracy: 0.92390267126, auc:0.816452980218
aid624287 accuracy: 0.964991147065, auc:0.674304066945
aid1468 accuracy: 0.920120084641, auc:0.871664867953
aid1469 accuracy: 0.986977380387, auc:0.762653659692
aid686970 accuracy: 0.732519104349, auc:0.833549217716
aid720532 accuracy: 0.662388953285, auc:0.851677316507
aid720551 accuracy: 0.908058313915, auc:0.668742678533


PCBA: Average Accuracy: 0.8658558296, Average AUC: 0.7781837933


