nr-ahr accuracy: 0.797044788593, auc:0.9151804969
nr-ar-lbd accuracy: 0.832129388694, auc:0.889805716221
sr-mmp accuracy: 0.804071749481, auc:0.908050279371
sr-p53 accuracy: 0.738076017251, auc:0.884508114757
nr-ar accuracy: 0.778452047396, auc:0.831028419924
nr-aromatase accuracy: 0.719059987266, auc:0.840407255864
nr-er-lbd accuracy: 0.777316958351, auc:0.832787402161
nr-er accuracy: 0.69221459286, auc:0.743100971321
nr-ppar-gamma accuracy: 0.711276438273, auc:0.861444871009
sr-are accuracy: 0.720855103929, auc:0.845614840104
sr-atad5 accuracy: 0.7183695337, auc:0.875144993346
sr-hse accuracy: 0.662631216152, auc:0.802708556042

Tox21: Average Accuracy: 0.7459581518, Average AUC: 0.8524818264


